Name;Land;Kontinent;Sprache der Website;Website-URL;E-Mail;Kontaktformular-Link;Art der Vermittlung;Vermittelt nach Deutschland?;Vermittelt aus Deutschland?
Tiervermittlung.de – Flugpaten-Börse;Deutschland;Europa;Deutsch;https://www.tiervermittlung.de/flugpaten_gesucht.shtml;;https://www.tiervermittlung.de/;Tiere;Ja;Ja
Flugpate.com;Deutschland;Europa;Deutsch;https://flugpate.com/;;https://flugpate.com/fp_anmeldung.php;Tiere;Ja;Ja
ZERGportal – Tierschutznetzwerk;Deutschland;Europa;Deutsch;https://zergportal.de/;;;Tiere;Ja;Unklar
Tierschutzstiftungen.de – Flugpate;Deutschland;Europa;Deutsch;https://tierschutzstiftungen.de/helfen/flugpate/;;;Tiere;Ja;Ja
Herbert und Maria Welter Tierschutzstiftung;Deutschland;Europa;Deutsch;https://tierstiftung.de;;;Tiere;Ja;Ja
Animal Rescue Flights (ARF);USA;Nordamerika;Englisch;https://www.animalrescueflights.org/;;https://www.animalrescueflights.org/;Tiere;Nein;Nein
Pilots N Paws;USA;Nordamerika;Englisch;https://www.pilotsnpaws.org/;;https://www.pilotsnpaws.org/;Tiere;Nein;Nein
Global Animal Rescue Network (GARN);International;Weltweit;Englisch;https://globalanimalrescuenetwork.org/;;;Tiere;Unklar;Unklar
Flight Angels (Puerto Rico);Puerto Rico;Nordamerika;Englisch;https://flightangels.org/;;https://flightangels.org/;Tiere;Nein;Nein
Mutt Mutt Engine – Flight Angel;USA;Nordamerika;Englisch;https://www.muttmuttengine.org/become-a-flight-angel.html;;;Tiere;Nein;Nein
Charlie's Angels Rescue;USA/Costa Rica;Nordamerika;Englisch;https://www.charlies-angels-rescue.org/flight-angel;;;Tiere;Nein;Nein
SWATT – Southwest Animal Transport Team;USA;Nordamerika;Englisch;https://swattransport.org/;;;Tiere;Nein;Nein
Petflight – Rescue Transports;USA;Nordamerika;Englisch;https://www.petflight.com/rescue_transports;;;Tiere;Unklar;Nein
Patas y Pilotos;Spanien;Europa;Spanisch;https://patasypilotos.com/;;https://patasypilotos.com/;Tiere;Unklar;Unklar
Fundación Bienestar Animal de España;Spanien;Europa;Spanisch;https://fundacionbienestaranimaldeespana.es/colabora/;;;Tiere;Unklar;Unklar
Woof Airlines;Spanien;Europa;Spanisch;https://www.woofairlines.com/es;;;Tiere;Unklar;Unklar
Anivetvoyage;Frankreich;Europa;Französisch;https://www.anivetvoyage.com/;;;Tiere;Unklar;Unklar
Fondation Droit Animal;Frankreich;Europa;Französisch;https://www.fondation-droit-animal.org/;;;Gemischt;Unklar;Unklar
